Size, Time, L1_DCM, L2_DCM
4096, 89.345, 17734504001, 17681812656
6144, 303.764, 59829270090, 59617297975
8192, 734.041, 141673523887, 145140124226
10240, 1414.630, 276551661298, 293010054487
