Size, Time, L1_DCM, L2_DCM
600, 0.246, 27121622, 54695150
1000, 1.208, 125837414, 252518774
1400, 3.359, 346772922, 694158532
1800, 7.949, 766246177, 1472015979
2200, 13.980, 2084344374, 2706543486
2600, 24.414, 4406553383, 4485738491
3000, 37.490, 6777068194, 6874505100
